contigName	contigLen	totalAvgDepth	Specific1_Cen01_95.bam	Specific1_Cen01_95.bam-var	Specific1_Cen03_95.bam	Specific1_Cen03_95.bam-var	Specific1_Cen04_95.bam	Specific1_Cen04_95.bam-var	Specific1_Cen05_95.bam	Specific1_Cen05_95.bam-var	Specific1_Cen06_95.bam	Specific1_Cen06_95.bam-var	Specific1_Cen07_95.bam	Specific1_Cen07_95.bam-var	Specific1_Cen10_95.bam	Specific1_Cen10_95.bam-var	Specific1_Cen12_95.bam	Specific1_Cen12_95.bam-var	Specific1_Cen13_95.bam	Specific1_Cen13_95.bam-var	Specific1_Cen14_95.bam	Specific1_Cen14_95.bam-var	Specific1_Cen15_95.bam	Specific1_Cen15_95.bam-var	Specific1_Cen16_95.bam	Specific1_Cen16_95.bam-var	Specific1_Cen17_95.bam	Specific1_Cen17_95.bam-var
PROKKA_00028 Ribosomal RNA small subunit methyltransferase A	810	66.9291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.697	39.2277	8.99091	10.9316	1.36212	1.58772	16.3894	9.88756	0	0
PROKKA_00029 hypothetical protein	324	54.0468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.7184	73.8476	6.47701	1.44416	1.93103	0.53857	18.6724	7.70876	0	0
PROKKA_00030 4-hydroxythreonine-4-phosphate dehydrogenase 2	642	69.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.4451	56.2214	12.0264	5.93586	3.99593	8.22753	17.313	14.226	0	0
PROKKA_00031 CAAX prenyl protease-related protein	1524	66.6186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.0182	79.4635	9.51383	14.0765	2.96652	1.9235	13.7984	18.4888	0	0
PROKKA_00032 hypothetical protein	180	9.54881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23333	0	3.96667	0	1	0	8.36667	0	0	0
PROKKA_00033 hypothetical protein	420	47.3614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.5963	40.9075	3.58519	0.964959	2.51852	1.8555	15.7333	4.24824	0	0
PROKKA_00034 hypothetical protein	246	42.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.1146	5.27357	7.20833	0.525877	5.41667	1.05088	14.5312	8.55263	0	0
PROKKA_00035 hypothetical protein	912	60.1746	0	0	0	0	0	0	0	0	0	0	0	0	0.392388	0.512891	0	0	38.9239	36.6962	7.46457	8.06091	2.46719	1.51942	13.6601	3.49527	0	0
PROKKA_00036 Capsule biosynthesis protein CapA	1347	73.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.5439	39.4437	9.88555	27.4528	1.45447	1.62636	20.9131	41.086	0	0
PROKKA_00037 Outer membrane flp protein	1359	63.9981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.4996	75.2682	11.1605	6.02131	1.69148	1.06253	14.4789	11.7847	0	0
PROKKA_00038 hypothetical protein	501	64.8729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.9117	101.822	7.96581	3.04568	2.35613	2.51233	13.037	11.5945	0	0
PROKKA_00039 cytoskeletal protein RodZ	915	60.8205	0	0	0	0	0	0	0	0	0	0	0	0	0.317647	0.247245	0	0	39.2732	121.522	9.49935	2.67434	2.36732	1.81882	12.115	8.0522	0	0
PROKKA_00040 TPR repeat-containing protein YrrB	705	67.9579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.2054	26.6715	10.7189	15.679	2.0991	1.19519	17.173	10.7704	0	0
PROKKA_00041 putative sugar kinase YdjH	915	57.6552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.1516	50.98	7.59869	9.33125	1.72418	0.702032	17.5935	10.8568	0.196078	0.158633
PROKKA_00042 S-methyl-5'-thioadenosine phosphorylase	900	61.9718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.5147	28.8702	8.40133	7.15322	1.556	0.956855	16.36	21.4691	0	0
PROKKA_00043 tRNA dimethylallyltransferase	1029	74.1187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.9841	24.3057	11.7019	10.615	2.54835	2.11271	19.8032	22.6542	0	0
PROKKA_00044 DNA mismatch repair protein MutL	1827	80.9253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.6679	97.5791	9.452	15.6364	4.34347	2.49107	18.1324	10.9595	0	0
PROKKA_00045 tol-pal system protein YbgF	792	63.3654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.4346	49.6011	10.1573	17.9382	2.53894	3.37769	18.6511	7.73924	0	0
PROKKA_00046 tol-pal system protein YbgF	1608	74.1939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.88	33.3906	9.16667	14.467	2.52675	3.46774	21.382	21.9847	0	0
PROKKA_00047 Minor outer membrane protein Omp16	786	66.2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.6792	62.9991	9.19497	13.5838	2.12107	5.23952	17.8396	8.96286	0	0
PROKKA_00048 Valine--tRNA ligase	2580	72.0664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.6918	56.8788	9.0214	10.1177	2.27366	1.85511	15.0453	18.7567	0.0609053	0.058302
PROKKA_00049 putative nicotinate-nucleotide pyrophosphorylase [carboxylating]	879	64.6936	0	0	0	0	0	0	0	0	0	0	0	0	0.201646	0.162022	0	0	42.7051	66.948	7.11385	4.0551	2.73525	7.61133	15.0096	17.3273	0	0
PROKKA_00050 Bifunctional protein BirA	846	70.4776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.3908	41.3423	9.34339	11.1354	3.28161	1.96303	17.967	22.7996	0	0
PROKKA_00051 Type III pantothenate kinase	774	71.8841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.0753	95.7021	9.9391	14.0561	3.4359	1.46172	20.4215	24.9297	0	0
PROKKA_00052 HSP-70 cofactor	597	66.3455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6286	84.7752	9.27293	7.22197	1.57494	0.59211	16.0067	5.50214	0	0
PROKKA_00053 Heat shock protein 70	1920	71.3703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.5379	100.935	9.05198	17.1106	1.70847	1.5653	17.4678	12.7697	0	0
PROKKA_00054 Heat shock protein J	1128	73.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.3824	45.6251	7.46217	11.7792	2.06646	1.02456	21.0031	11.3866	0	0
PROKKA_00055 Ribosomal RNA small subunit methyltransferase E	741	71.528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.3418	82.5373	11.3756	2.79613	3.6819	2.01882	17.3181	29.7026	0	0
PROKKA_00056 Ycf48-like protein precursor	1002	68.8495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.0857	40.132	9.6115	5.27456	4.20657	5.36173	14.743	19.8374	0	0
PROKKA_00057 hypothetical protein	1773	67.766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.6987	61.2548	10.2939	4.00602	2.47443	1.75806	17.7443	20.3806	0	0
PROKKA_00058 hypothetical protein	891	71.881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.695	39.7077	9.97031	22.0634	2.2861	2.66415	17.2874	33.8625	0	0
PROKKA_00059 putative endoribonuclease L-PSP	477	57.9815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.3364	84.1567	9.37003	10.5075	1.69113	0.577381	13.7217	15.5745	0	0
PROKKA_00060 Phosphopentomutase	1158	60.1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.4058	51.6717	8.82242	7.95075	0.945437	0.190876	16.998	7.9225	0	0
PROKKA_00061 Deoxyribose-phosphate aldolase	675	66.5743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.3905	68.323	7.29524	1.86889	3.30095	1.59999	16.9771	8.29782	0	0
PROKKA_00062 putative aminodeoxychorismate lyase	1026	60.324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.7352	20.8693	7.42808	3.21521	3.74658	2.06657	15.7979	20.8436	0	0
PROKKA_00063 Putative Holliday junction resolvase	480	42.4859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.503	18.2932	7.30606	1.72586	1.03636	0.114479	6.09697	1.43057	0	0
PROKKA_00064 Alanine--tRNA ligase	2523	59.9527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.6608	58.9781	8.54488	13.1557	3.09987	2.51567	14.5217	18.9005	0	0
PROKKA_00065 Purine catabolism protein PucG	1218	63.6641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0056	31.5528	7.20037	16.5058	2.51779	2.48015	17.0037	19.3569	0	0
PROKKA_00066 hypothetical protein	597	60.3324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9754	91.6196	10.8479	12.1014	3.83221	0.735697	23.349	18.6437	0	0
PROKKA_00067 N-acyl-D-glutamate deacylase	1206	60.9537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.0786	47.1901	8.53125	9.95578	4.99905	7.65787	17.3428	13.7804	0	0
PROKKA_00068 Chaperone protein DnaJ	639	68.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.2802	70.5155	12.1718	4.69669	4.19632	15.1834	18.1677	17.3356	0	0
PROKKA_00069 Putative niacin/nicotinamide transporter NaiP	1284	61.673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.2275	39.7163	8.3448	7.53954	3.0679	3.39409	19.9153	39.031	0	0
PROKKA_00070 Sporulation inhibitor KipI	696	59.4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.5696	39.5133	7.663	5.61295	2.32051	3.05129	15.6575	17.5589	0	0
PROKKA_00071 LamB/YcsF family protein	774	58.7809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.0978	94.3347	6.96955	4.7331	2.29167	3.86029	14.6827	9.25434	0	0
PROKKA_00072 KipI antagonist	969	69.3556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.7631	103.025	9.58974	7.08825	2.09768	6.32199	15.8364	7.85335	0	0
PROKKA_00073 hypothetical protein	732	46.2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.1237	44.2069	4.08591	3.36143	2.73368	3.43679	17.0309	12.3535	0	0
PROKKA_00074 Inner membrane protein YbcI	537	56.3499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.8811	40.0363	5.64083	7.53128	1.95607	1.12304	15.9121	13.3624	0	0
PROKKA_00075 hypothetical protein	618	60.1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.1624	33.995	5.19658	3.00024	2.1859	2.07322	19.0321	10.8554	0	0
PROKKA_00076 Multifunctional CCA protein	1887	61.6308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.1203	93.8331	8.67185	10.3502	2.60852	3.80689	18.4583	16.5965	0	0
PROKKA_00077 Universal stress proteinc/MT2061	840	71.5828	0	0	0	0	0	0	0	0	0	0	0	0	0.426087	0.454104	0	0	46.3551	144.677	8.63188	5.97679	4.4942	2.74964	15.2667	8.32624	0	0
PROKKA_00078 hypothetical protein	228	36.0786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.9744	11.3941	7.60256	0.165168	1	0	9.51282	0.17982	0	0
PROKKA_00079 hypothetical protein	1377	66.4466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.3936	44.9891	11.3415	19.9032	2.62266	1.81305	16.9633	10.3552	0	0
PROKKA_00080 Anaerobic sulfite reductase iron-sulfur subunit	1176	62.5071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.0497	140.471	10.2144	10.1433	3.01267	0.958522	20.3392	36.2869	0	0
PROKKA_00081 Anaerobic sulfite reductase subunit B	840	60.8074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.3812	37.894	7.85217	9.15567	1.41159	0.958077	14.213	6.3048	0	0
PROKKA_00082 NAD-reducing hydrogenase HoxS subunit delta	834	75.9085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.9035	46.9714	9.15936	21.145	2.44298	1.02044	18.2442	37.8573	0	0
PROKKA_00083 NAD-reducing hydrogenase HoxS subunit beta	1344	63.3901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.1876	82.3544	6.88693	9.41067	3.08208	3.11198	21.0712	27.7815	0	0
PROKKA_00084 Hydrogenase 2 maturation protease	474	48.7681	0	0	0	0	0	0	0	0	0	0	0	0	0.453704	0.249617	0	0	24.9877	102.177	5.72531	4.68165	4.58333	2.40489	18.2284	15.1321	0	0
PROKKA_00085 hydrogenase nickel incorporation protein	354	42.6167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.652	29.4902	4.03431	1.4589	3.68137	1.39677	11.4804	2.3364	0	0
PROKKA_00086 Carbamoyltransferase HypF	2349	67.3115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0673033	0.0639812	37.8877	53.4173	8.17235	6.61329	4.12233	3.34505	18.1214	26.7535	0	0
PROKKA_00087 Hydrogenase isoenzymes formation protein HypC	273	43.7394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.4959	19.3879	8.95122	2.01399	1.60976	0.239904	11.9919	5.36305	0	0
PROKKA_00088 Hydrogenase expression/formation protein HypD	1137	59.6663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.3019	49.075	7.2077	7.32911	3.69706	5.38332	18.5522	12.9036	0	0
PROKKA_00089 Hydrogenase expression/formation protein HypE	1056	68.6327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.5	63.56	7.83444	14.4574	2.2053	2.54066	20.7152	53.6035	0	0
PROKKA_00090 Tagatose-6-phosphate kinase	933	59.6002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.7497	25.5876	5.82375	5.0723	3.49298	2.78484	18.1686	19.8484	0	0
PROKKA_00091 Universal stress protein/MSMEI_3859	864	46.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.9846	19.8205	7.5014	4.41778	1.80252	0.924501	14.1513	15.5851	0	0
PROKKA_00092 hypothetical protein	354	42.8304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.7206	21.0201	4.51961	1.59227	1.41667	0.618637	16.4412	4.47433	0	0
PROKKA_00093 Cation efflux system protein CzcC	1260	68.5706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.8252	64.2677	6.05766	3.62327	2.65856	8.94015	17.1676	15.371	0	0
PROKKA_00094 Cation efflux system protein CusB precursor	1197	58.5975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.8911	101.033	8.09169	13.3769	1.21108	0.791835	14.341	15.6855	0	0
PROKKA_00095 hypothetical protein	927	62.8204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.695	43.4312	9.18018	8.30144	3.37709	12.7659	15.3668	12.3807	0	0
PROKKA_00096 hypothetical protein	144	6.40972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83333	0.0402098	0.951389	0	0.951389	0	2.67361	0.12466	0	0
PROKKA_00097 putative periplasmic serine endoprotease DegP-like precursor	1446	67.9332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.4738	118.135	10.0718	10.9122	2.17207	2.84127	15.0301	7.63446	0	0
PROKKA_00098 Blue-light-activated protein	1821	73.8684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.8426	85.81	8.53561	13.9234	2.03471	1.48525	18.9856	12.7023	0	0
PROKKA_00099 tRNA-Lys(ctt)	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKKA_00100 tRNA-Arg(ccg)	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKKA_00101 hypothetical protein	234	30.3418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.631	4.43144	7.40476	2.12894	1	0	8.80952	1.1922	0	0
PROKKA_00102 hypothetical protein	408	53.0492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.5581	128.265	5.32946	4.29313	1.42636	1.52288	16.8527	4.85918	0	0
PROKKA_00103 hypothetical protein	537	53.971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.3643	26.3337	8.34367	3.53501	2.70284	3.77378	14.3876	9.31283	0	0
PROKKA_00104 hypothetical protein	210	24.1187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.3333	0	3.55	0.0483051	1.71667	0	12.4333	0	0	0
PROKKA_00105 hypothetical protein	414	65.7233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.303	26.5709	10.8902	13.6274	1.28788	0.514519	12.8598	7.11923	0	0
PROKKA_00106 Glutamine--tRNA ligase	1704	67.2598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.4749	51.4391	9.68082	10.312	2.11776	2.92206	14.4846	36.5773	0	0
PROKKA_00107 hypothetical protein	273	43.7775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.2276	49.5819	3.26829	2.00013	1.5122	0.251633	11.0894	6.60389	0	0
PROKKA_00108 tRNA-Gln(ctg)	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKKA_00109 Glutamate--tRNA ligase	1422	74.5988	0	0	0	0	0	0	0	0	0	0	0	0	0.202044	0.310837	0	0	44.1014	39.1356	11.2319	11.6517	2.85142	2.11846	18.2421	14.5643	0	0
PROKKA_00110 Phenol hydroxylase P5 protein	711	63.1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.3565	41.8179	8.40285	18.6661	1.8574	2.27963	17.3797	7.54027	0	0
PROKKA_00111 2Fe-2S ferredoxin	417	56.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.603	26.3859	10.2285	8.6768	3.20974	1.80502	16.4494	15.3121	0	0
PROKKA_00112 HTH-type transcriptional repressor NsrR	477	47.3763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.2202	29.0141	7.57798	4.70997	2.15596	0.624997	13.4373	8.35383	0	0
PROKKA_00113 Cysteine desulfurase	1218	69.2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.2125	241.5	6.68446	8.7683	1.52341	0.954164	17.0599	14.377	0	0
PROKKA_00114 NifU-like protein	399	62.6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.2691	84.6912	7.73494	3.24178	2.80321	0.554735	15.5341	21.7782	0	0
PROKKA_00115 Iron-sulfur cluster assembly protein	357	48.3827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.5121	10.4741	6.99517	2.65011	4.09662	2.98049	12.8696	19.4081	0	0
PROKKA_00116 Hsc20	723	72.0373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.726	81.547	8.80105	4.66759	2.6911	0.896445	17.171	28.4831	0	0
PROKKA_00117 Heat shock protein 70	1821	73.3243	0	0	0	0	0	0	0	0	0	0	0	0	0.18073	0.267916	0	0	44.857	24.834	9.26272	17.6294	2.9222	3.51923	17.6206	23.2302	0	0
PROKKA_00118 FeS assembly protein IscX	213	31.9622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.3492	0.175627	7.74603	0	0	0	7.42857	0.0604199	0	0
PROKKA_00119 Penicillin-binding protein 1A	2403	70.9158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.9947	52.5235	8.96982	8.86185	2.54771	2.378	15.4931	15.9295	0	0
PROKKA_00120 Tyrosine phosphorylated protein A	1890	75.1915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.004	125.25	8.36092	13.5829	2.45575	1.73349	18.8667	21.991	0	0
PROKKA_00121 hypothetical protein	771	71.426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.3317	29.0301	7.45411	6.35624	2.24316	2.93115	18.3784	10.4745	0	0
PROKKA_00122 Putative peroxiredoxinc/MT2298	474	63.4552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6944	47.545	7.91667	1.90093	3.99383	2.14238	13.6296	4.55027	0	0
PROKKA_00123 thioredoxin	327	60.3879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.5254	48.5812	6.55367	7.46271	0.457627	0.249614	17.661	8.94322	0	0
PROKKA_00124 6-carboxy-5,6,7,8-tetrahydropterin synthase	783	57.4657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.0205	105.669	5.67141	11.3446	2.37757	2.01256	16.5387	9.29729	0	0
PROKKA_00125 Iron-sulfur cluster insertion protein ErpA	321	44.8264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0585	37.7384	10.1228	4.20792	1.23977	0.239698	7.47953	9.62793	0	0
